Gate voltage (V),Capacitance (F),Dissipation (s^-1),Resonance frequency (Hz),Internal quality factor (1),Effective resistnce (Ohm)
0.00017999999999984695,2.6331890157422154e-17,63830.93874737022,368772274.37926245,3491.8159267703677,47951849.20692206
0.00018999999999991246,2.4593758624620208e-17,43430.66525503587,368773255.1415392,3602.5659016961945,70475815.45381184
0.00019999999999997797,5.756318751705114e-17,94195.76641328611,368754653.0657417,3339.0288220460016,32494151.97834684
0.00020999999999982144,5.441623002113407e-17,71150.69722992045,368756428.5267447,3453.719909191394,43018714.76619952
0.00021999999999988695,6.067447675584447e-17,97991.97411963387,368752897.7533858,3320.8625669539483,31235328.985345025
0.00022999999999995246,5.4742116771661087e-17,159252.23074672365,368756244.6656777,3052.8361608562764,19219897.48713866
0.00023999999999979593,6.055856164272612e-17,173857.77474829447,368752963.1493731,2995.200470278024,17605261.277394805
0.00024999999999986144,5.601290189948572e-17,174332.378633657,368755527.7078604,2993.3640964230667,17557332.570917223
0.00025999999999992696,4.8324371592572084e-17,156999.2919741843,368759865.5246764,3061.9246513418434,19495702.885421123
0.00026999999999999247,5.168761882032428e-17,163037.65151721102,368757967.9844942,3037.686428163774,18773648.424560774
0.00027999999999983594,4.768448477380518e-17,171392.6639407269,368760226.5513936,3004.775026932329,17858474.6813242
0.00028999999999990145,4.270802509320847e-17,121790.61614921095,368763034.3261552,3211.332653169746,25131751.906076606
0.00029999999999996696,3.5607569358990013e-17,126805.37265286979,368767040.59452164,3189.1682040218507,24137869.59902053
0.00030999999999981043,4.575027467354683e-17,145315.7874604434,368761317.8469598,3109.938194877078,21063172.853007212
0.00031999999999987594,3.295025294140813e-17,48841.4937801846,368768539.9575933,3572.512486480849,62668262.42714083
0.00032999999999994145,3.4548622456404776e-17,66168.87975808745,368767638.0920743,3479.5569784441045,46257569.43053083
0.00034000000000000696,3.334096271835679e-17,62691.835332371396,368768319.50253016,3497.820143234087,48823128.77462856
0.00034999999999985043,2.834381583931969e-17,16586.466705278483,368771139.13501203,3759.4696545727647,184536683.06439924
0.00035999999999991594,3.5922287925781345e-17,-2500.8891913394746,368766863.01906425,3879.614544810943,-1223889311.109708
0.00036999999999998145,3.0857837333837364e-17,416.5947822891858,368769720.59414536,3860.7557577471293,7347215278.910564
0.0003799999999998249,2.192539148769541e-17,-13238.055237886028,368774760.81602186,3950.6360116247834,-231213081.87251115
0.00038999999999989043,2.3741979859413455e-17,10429.926675153307,368773735.7711297,3797.4006361296324,293464340.15128756
0.00039999999999995595,1.7733623141380334e-17,7955.338371521205,368777126.134469,3812.8633237984964,384749385.4576139
